Date;Time; Temperatura  -  Méd  (C) ; Umidade  -  Méd  (%) ; Pressão  -  Méd  (hpa) ; Velocidade  do  vento  -  Méd  (kmh) ; Rajada  de  vento  -  Méd  (kmh) ; Direção  do  vento  -  Tudo  (°) ; Ponto  de  orvalho  -  Méd  (C) ; Temperatura  aparente  -  Méd  (C) ; Taxa  de  precipitação  -  Méd  (mm/h) ; Precipitation  -  Total  (mm) ; Radiação  solar  -  Méd  (W/m2) ; Temperatura  -  Máx  (C) ; Umidade  -  Máx  (%) ; Pressão  -  Máx  (hpa) ; Velocidade  do  vento  -  Máx  (kmh) ; Rajada  de  vento  -  Máx  (kmh) ; Ponto  de  orvalho  -  Máx  (C) ; Temperatura  aparente  -  Máx  (C) ; Taxa  de  precipitação  -  Máx  (mm/h) ; Radiação  solar  -  Máx  (W/m2) ; Temperatura  -  Mín  (C) ; Umidade  -  Mín  (%) ; Pressão  -  Mín  (hpa) ; Velocidade  do  vento  -  Mín  (kmh) ; Rajada  de  vento  -  Mín  (kmh) ; Ponto  de  orvalho  -  Mín  (C) ; Temperatura  aparente  -  Mín  (C) ; Taxa  de  precipitação  -  Mín  (mm/h) ; Radiação  solar  -  Mín  (W/m2) ; Temperatura  -  Variação  (C) ; Umidade  -  Variação  (%) ; Pressão  -  Variação  (hpa) ; Velocidade  do  vento  -  Variação  (kmh) ; Rajada  de  vento  -  Variação  (kmh) ; Ponto  de  orvalho  -  Variação  (C) ; Temperatura  aparente  -  Variação  (C) ; Taxa  de  precipitação  -  Variação  (mm/h) ; Radiação  solar  -  Variação  (W/m2) 
30/01/20;    ;22.81;84.89;1013.17;1.34;2.00;80;19.94;26.26;0.14;2.00;196.07;29.30;95.00;1014.60;6.40;11.30;22.80;33.60;5.30;1297.00;18.60;65.00;1011.50;0.00;0.00;17.60;21.20;0.00;0.00;10.70;30.00;3.10;6.40;11.30;5.20;12.40;5.30;1297.00
03/02/20;    ;19.78;94.88;1013.16;0.00;0.20;92;18.95;22.99;0.00;0.00;0.00;20.10;95.00;1013.20;0.00;3.20;19.30;23.50;0.00;0.00;19.20;94.00;1012.90;0.00;0.00;18.40;22.20;0.00;0.00;0.90;1.00;0.30;0.00;3.20;0.90;1.30;0.00;0.00
04/02/20;    ;21.99;86.13;1012.66;0.78;1.47;135;19.40;25.29;0.61;10.90;167.31;28.60;95.00;1014.20;6.40;24.10;22.80;32.60;63.00;1338.00;17.90;65.00;1010.20;0.00;0.00;16.90;20.20;0.00;0.00;10.70;30.00;4.00;6.40;24.10;5.90;12.40;63.00;1338.00
05/02/20;    ;22.06;87.23;1012.73;0.87;1.22;114;19.72;25.46;0.96;17.30;151.23;27.70;95.00;1014.20;11.30;16.10;21.90;31.80;48.00;805.00;19.00;66.00;1010.20;0.00;0.00;18.10;21.90;0.00;0.00;8.70;29.00;4.00;11.30;16.10;3.80;9.90;48.00;805.00
06/02/20;    ;21.77;88.18;1012.83;1.24;1.74;149;19.62;25.06;1.64;38.60;160.83;28.10;95.00;1014.60;8.00;8.00;21.80;32.30;74.70;1248.00;19.10;66.00;1010.50;0.00;0.00;18.00;21.70;0.00;0.00;9.00;29.00;4.10;8.00;8.00;3.80;10.60;74.70;1248.00
07/02/20;    ;18.95;91.87;1013.28;0.06;0.20;97;17.57;21.55;0.00;0.00;72.23;22.60;95.00;1014.60;1.60;3.20;18.60;25.60;0.00;478.00;17.40;78.00;1012.50;0.00;0.00;16.60;19.60;0.00;0.00;5.20;17.00;2.10;1.60;3.20;2.00;6.00;0.00;478.00
10/02/20;    ;22.03;91.45;1012.93;0.74;1.18;114;20.57;25.87;0.92;8.40;73.14;23.60;95.00;1014.20;3.20;8.00;21.50;27.70;14.50;350.00;20.70;86.00;1011.50;0.00;0.00;18.80;23.50;0.00;0.00;2.90;9.00;2.70;3.20;8.00;2.70;4.20;14.50;350.00
11/02/20;    ;20.40;87.98;1013.17;1.41;2.14;211;18.28;23.04;3.67;72.60;105.93;23.20;95.00;1014.60;6.40;9.70;20.70;25.90;59.70;705.00;17.40;75.00;1011.90;0.00;0.00;16.60;19.60;0.00;0.00;5.80;20.00;2.70;6.40;9.70;4.10;6.30;59.70;705.00
12/02/20;    ;20.71;85.20;1012.88;1.40;2.18;186;18.09;23.28;0.73;10.20;146.03;23.10;93.00;1014.20;4.80;9.70;20.00;26.30;42.20;624.00;18.40;77.00;1010.50;0.00;0.00;16.70;20.60;0.00;0.00;4.70;16.00;3.70;4.80;9.70;3.30;5.70;42.20;624.00
13/02/20;    ;21.47;81.15;1013.85;1.76;2.95;185;18.08;23.97;0.00;1.00;52.49;23.40;90.00;1014.20;4.80;8.00;19.30;26.50;0.00;591.00;18.80;78.00;1013.20;0.00;0.00;17.00;21.20;0.00;0.00;4.60;12.00;1.00;4.80;8.00;2.30;5.30;0.00;591.00
