Date;Time; Temperatura  -  Méd  (C) ; Umidade  -  Méd  (%) ; Pressão  -  Méd  (hpa) ; Velocidade  do  vento  -  Méd  (kmh) ; Rajada  de  vento  -  Méd  (kmh) ; Direção  do  vento  -  Tudo  (°) ; Ponto  de  orvalho  -  Méd  (C) ; Temperatura  aparente  -  Méd  (C) ; Taxa  de  precipitação  -  Méd  (mm/h) ; Precipitation  -  Total  (mm) ; Radiação  solar  -  Méd  (W/m2) ; Temperatura  -  Máx  (C) ; Umidade  -  Máx  (%) ; Pressão  -  Máx  (hpa) ; Velocidade  do  vento  -  Máx  (kmh) ; Rajada  de  vento  -  Máx  (kmh) ; Ponto  de  orvalho  -  Máx  (C) ; Temperatura  aparente  -  Máx  (C) ; Taxa  de  precipitação  -  Máx  (mm/h) ; Radiação  solar  -  Máx  (W/m2) ; Temperatura  -  Mín  (C) ; Umidade  -  Mín  (%) ; Pressão  -  Mín  (hpa) ; Velocidade  do  vento  -  Mín  (kmh) ; Rajada  de  vento  -  Mín  (kmh) ; Ponto  de  orvalho  -  Mín  (C) ; Temperatura  aparente  -  Mín  (C) ; Taxa  de  precipitação  -  Mín  (mm/h) ; Radiação  solar  -  Mín  (W/m2) ; Temperatura  -  Variação  (C) ; Umidade  -  Variação  (%) ; Pressão  -  Variação  (hpa) ; Velocidade  do  vento  -  Variação  (kmh) ; Rajada  de  vento  -  Variação  (kmh) ; Ponto  de  orvalho  -  Variação  (C) ; Temperatura  aparente  -  Variação  (C) ; Taxa  de  precipitação  -  Variação  (mm/h) ; Radiação  solar  -  Variação  (W/m2) 
23/05/20;    ;18.78;85.68;1015.87;0.70;1.19;126;16.22;20.75;0.08;1.30;76.94;24.30;95.00;1018.00;6.40;11.30;18.60;27.10;13.70;499.00;14.10;67.00;1013.90;0.00;0.00;13.00;15.00;0.00;0.00;10.20;28.00;4.10;6.40;11.30;5.60;12.10;13.70;499.00
24/05/20;    ;15.69;90.75;1016.29;0.28;0.56;128;14.16;16.96;0.27;6.10;34.70;20.60;95.00;1018.60;3.20;8.00;17.60;22.90;7.60;563.00;14.20;82.00;1014.60;0.00;0.00;12.60;15.00;0.00;0.00;6.40;13.00;4.00;3.20;8.00;5.00;7.90;7.60;563.00
25/05/20;    ;13.78;80.62;1015.47;0.65;1.29;120;10.18;13.77;0.00;0.30;170.62;20.30;94.00;1017.30;4.80;9.70;13.30;20.20;0.00;872.00;8.00;49.00;1012.90;0.00;0.00;6.90;7.30;0.00;0.00;12.30;45.00;4.40;4.80;9.70;6.40;12.90;0.00;872.00
26/05/20;    ;11.20;76.34;1016.42;0.57;0.96;81;6.49;10.30;0.00;0.50;199.59;20.50;95.00;1018.30;4.80;11.30;9.80;19.80;0.00;710.00;5.20;38.00;1013.90;0.00;0.00;4.00;4.00;0.00;0.00;15.30;57.00;4.40;4.80;11.30;5.80;15.80;0.00;710.00
27/05/20;    ;12.55;71.03;1018.37;0.37;0.78;96;6.82;11.78;0.00;0.00;189.09;23.80;91.00;1020.70;4.80;6.40;11.20;23.70;0.00;710.00;4.80;37.00;1016.30;0.00;0.00;3.30;3.40;0.00;0.00;19.00;54.00;4.40;4.80;6.40;7.90;20.30;0.00;710.00
28/05/20;    ;12.34;72.62;1020.30;0.22;0.58;106;6.76;11.60;0.00;0.30;204.20;24.40;93.00;1022.40;3.20;6.40;11.90;24.40;0.00;705.00;3.70;40.00;1018.60;0.00;0.00;2.50;2.10;0.00;0.00;20.70;53.00;3.80;3.20;6.40;9.40;22.30;0.00;705.00
29/05/20;    ;14.25;68.98;1020.73;0.37;0.82;115;7.64;13.64;0.00;0.00;190.30;27.00;91.00;1023.70;3.20;8.00;10.70;26.90;0.00;708.00;6.30;25.00;1016.60;0.00;0.00;4.90;5.20;0.00;0.00;20.70;66.00;7.10;3.20;8.00;5.80;21.70;0.00;708.00
30/05/20;    ;13.91;75.88;1019.86;0.30;0.60;116;9.17;13.73;0.00;0.00;184.00;24.90;92.00;1022.40;4.80;8.00;13.20;25.70;0.00;705.00;6.60;44.00;1016.90;0.00;0.00;5.20;5.50;0.00;0.00;18.30;48.00;5.50;4.80;8.00;8.00;20.20;0.00;705.00
31/05/20;    ;14.21;76.66;1018.91;0.49;0.94;101;9.66;14.10;0.00;0.30;190.29;23.60;94.00;1021.00;4.80;9.70;12.90;23.80;0.00;691.00;7.50;44.00;1016.60;0.00;0.00;6.30;6.60;0.00;0.00;16.10;50.00;4.40;4.80;9.70;6.60;17.20;0.00;691.00
01/06/20;    ;14.70;76.50;1017.92;0.36;0.80;104;10.09;14.74;0.00;0.00;181.30;24.70;93.00;1021.00;3.20;6.40;13.40;25.40;0.00;682.00;7.60;44.00;1014.90;0.00;0.00;6.30;6.80;0.00;0.00;17.10;49.00;6.10;3.20;6.40;7.10;18.60;0.00;682.00
02/06/20;    ;16.57;75.26;1017.03;0.49;0.99;105;11.66;17.03;0.00;0.00;187.76;25.20;94.00;1019.30;4.80;9.70;14.60;26.30;0.00;663.00;9.60;46.00;1014.60;0.00;0.00;8.30;9.20;0.00;0.00;15.60;48.00;4.70;4.80;9.70;6.30;17.10;0.00;663.00
03/06/20;    ;19.63;73.73;1017.70;0.66;1.41;127;14.43;20.94;0.00;0.00;149.75;25.80;93.00;1019.60;3.20;8.00;16.60;27.20;0.00;721.00;13.10;49.00;1015.90;0.00;0.00;11.80;13.70;0.00;0.00;12.70;44.00;3.70;3.20;8.00;4.80;13.50;0.00;721.00
04/06/20;    ;20.11;79.88;1019.12;0.37;0.81;117;16.36;22.18;0.00;0.50;118.64;25.20;94.00;1021.30;3.20;6.40;18.80;27.90;0.00;860.00;15.90;62.00;1017.30;0.00;0.00;14.90;17.50;0.00;0.00;9.30;32.00;4.00;3.20;6.40;3.90;10.40;0.00;860.00
05/06/20;    ;18.55;87.37;1019.88;0.08;0.20;86;16.33;20.67;0.00;0.30;73.65;23.30;95.00;1022.40;1.60;4.80;18.20;26.00;0.00;599.00;14.90;70.00;1018.30;0.00;0.00;13.90;16.10;0.00;0.00;8.40;25.00;4.10;1.60;4.80;4.30;9.90;0.00;599.00
06/06/20;    ;18.29;83.49;1018.94;0.39;0.71;93;15.17;19.92;0.00;0.30;125.86;25.20;95.00;1021.30;4.80;8.00;17.30;27.30;0.00;737.00;13.60;57.00;1015.90;0.00;0.00;12.80;14.50;0.00;0.00;11.60;38.00;5.40;4.80;8.00;4.50;12.80;0.00;737.00
07/06/20;    ;18.16;89.82;1019.22;0.43;0.81;108;16.41;20.23;1.26;21.10;66.67;22.20;96.00;1021.00;4.80;8.00;18.10;24.50;74.70;735.00;15.90;75.00;1017.30;0.00;0.00;14.60;17.40;0.00;0.00;6.30;21.00;3.70;4.80;8.00;3.50;7.10;74.70;735.00
08/06/20;    ;19.23;85.42;1018.30;0.45;0.86;99;16.52;21.36;0.00;0.30;174.90;26.20;95.00;1020.70;4.80;11.30;19.20;28.80;0.00;768.00;14.90;59.00;1015.20;0.00;0.00;14.10;16.20;0.00;0.00;11.30;36.00;5.50;4.80;11.30;5.10;12.60;0.00;768.00
09/06/20;    ;19.74;80.39;1016.59;0.29;0.66;118;15.94;21.69;0.00;0.30;187.86;26.80;95.00;1019.00;3.20;8.00;19.40;29.80;0.00;775.00;13.40;57.00;1013.60;0.00;0.00;12.40;14.20;0.00;0.00;13.40;38.00;5.40;3.20;8.00;7.00;15.60;0.00;775.00
10/06/20;    ;20.47;82.65;1015.37;0.52;0.92;84;17.17;22.83;0.00;0.00;120.72;26.80;95.00;1016.90;4.80;8.00;19.00;29.50;0.00;673.00;16.30;58.00;1013.20;0.00;0.00;15.30;18.00;0.00;0.00;10.50;37.00;3.70;4.80;8.00;3.70;11.50;0.00;673.00
11/06/20;    ;20.40;78.17;1016.48;0.58;1.12;89;15.97;22.29;0.00;0.30;226.43;28.30;95.00;1019.00;4.80;9.70;18.30;30.80;0.00;680.00;14.30;49.00;1013.90;0.00;0.00;13.50;15.40;0.00;0.00;14.00;46.00;5.10;4.80;9.70;4.80;15.40;0.00;680.00
12/06/20;    ;17.28;86.81;1016.64;0.30;0.89;69;15.04;18.86;0.00;0.00;0.00;18.30;90.00;1016.90;1.60;6.40;15.90;20.30;0.00;0.00;15.90;84.00;1015.90;0.00;0.00;14.00;17.20;0.00;0.00;2.40;6.00;1.00;1.60;6.40;1.90;3.10;0.00;0.00
13/06/20;    ;19.34;77.27;1018.02;0.47;1.05;112;14.86;20.84;0.00;0.00;167.71;28.20;93.00;1020.30;3.20;8.00;17.70;30.10;0.00;712.00;13.70;47.00;1016.30;0.00;0.00;12.40;14.50;0.00;0.00;14.50;46.00;4.00;3.20;8.00;5.30;15.60;0.00;712.00
14/06/20;    ;19.65;75.68;1020.66;3.18;4.32;163;14.95;20.65;0.00;0.00;171.53;25.60;94.00;1023.40;9.70;20.90;17.10;26.80;0.00;677.00;14.20;56.00;1018.60;0.00;0.00;12.90;15.10;0.00;0.00;11.40;38.00;4.80;9.70;20.90;4.20;11.70;0.00;677.00
15/06/20;    ;18.48;75.70;1023.26;1.01;1.89;127;13.76;19.49;0.00;0.00;196.34;25.70;92.00;1025.10;4.80;11.30;15.90;27.10;0.00;675.00;13.40;53.00;1021.00;0.00;0.00;11.80;14.00;0.00;0.00;12.30;39.00;4.10;4.80;11.30;4.10;13.10;0.00;675.00
16/06/20;    ;17.60;77.75;1024.02;0.80;1.58;126;13.39;18.53;0.00;0.00;158.49;25.70;93.00;1026.40;4.80;11.30;16.30;26.70;0.00;707.00;11.30;52.00;1021.00;0.00;0.00;10.20;11.40;0.00;0.00;14.40;41.00;5.40;4.80;11.30;6.10;15.30;0.00;707.00
17/06/20;    ;16.62;80.20;1022.74;0.37;0.69;86;12.95;17.50;0.00;0.30;170.21;23.40;95.00;1025.40;4.80;9.70;15.70;24.90;0.00;715.00;10.30;57.00;1020.00;0.00;0.00;9.40;10.20;0.00;0.00;13.10;38.00;5.40;4.80;9.70;6.30;14.70;0.00;715.00
18/06/20;    ;15.11;81.11;1021.83;0.77;1.22;85;11.58;15.49;0.00;0.30;166.46;22.30;95.00;1024.00;6.40;11.30;14.20;23.30;0.00;926.00;9.00;58.00;1019.60;0.00;0.00;8.10;8.60;0.00;0.00;13.30;37.00;4.40;6.40;11.30;6.10;14.70;0.00;926.00
19/06/20;    ;15.82;80.49;1021.47;0.28;0.54;108;12.08;16.44;0.00;0.30;160.11;25.10;95.00;1023.70;3.20;8.00;15.60;26.80;0.00;724.00;9.90;48.00;1019.00;0.00;0.00;9.00;9.70;0.00;0.00;15.20;47.00;4.70;3.20;8.00;6.60;17.10;0.00;724.00
20/06/20;    ;17.48;78.66;1021.25;0.50;0.77;106;13.35;18.49;0.00;0.30;177.65;26.90;94.00;1023.40;4.80;6.40;17.40;28.40;0.00;656.00;10.30;50.00;1019.00;0.00;0.00;9.10;10.10;0.00;0.00;16.60;44.00;4.40;4.80;6.40;8.30;18.30;0.00;656.00
21/06/20;    ;17.85;77.69;1020.10;0.79;1.17;79;13.34;18.76;0.00;0.30;168.06;26.80;95.00;1022.00;6.40;12.90;17.70;27.70;0.00;714.00;11.30;44.00;1018.00;0.00;0.00;10.50;11.50;0.00;0.00;15.50;51.00;4.00;6.40;12.90;7.20;16.20;0.00;714.00
22/06/20;    ;17.76;71.95;1020.24;0.55;1.15;111;12.02;18.32;0.00;0.00;244.82;26.40;93.00;1022.00;3.20;6.40;15.90;27.80;0.00;664.00;10.30;45.00;1016.90;0.00;0.00;8.90;10.10;0.00;0.00;16.10;48.00;5.10;3.20;6.40;7.00;17.70;0.00;664.00
23/06/20;    ;16.53;71.77;1017.08;0.30;0.64;65;10.81;16.77;0.00;0.00;71.17;23.90;89.00;1019.00;3.20;4.80;13.60;23.80;0.00;468.00;10.90;40.00;1015.60;0.00;0.00;9.00;10.70;0.00;0.00;13.00;49.00;3.40;3.20;4.80;4.60;13.10;0.00;468.00
24/06/20;    ;14.84;76.73;1017.81;0.46;1.00;112;10.34;14.93;0.00;0.00;164.50;24.20;92.00;1020.30;4.80;8.00;13.60;24.70;0.00;714.00;8.30;46.00;1014.90;0.00;0.00;6.90;7.60;0.00;0.00;15.90;46.00;5.40;4.80;8.00;6.70;17.10;0.00;714.00
25/06/20;    ;16.73;79.77;1017.53;0.66;1.13;108;12.79;17.53;0.00;0.30;161.70;25.90;94.00;1020.30;8.00;11.30;16.10;27.40;0.00;784.00;9.80;51.00;1014.90;0.00;0.00;8.90;9.60;0.00;0.00;16.10;43.00;5.40;8.00;11.30;7.20;17.80;0.00;784.00
26/06/20;    ;18.87;80.09;1016.08;0.69;1.27;128;15.05;20.41;0.50;4.80;128.36;26.40;93.00;1018.30;4.80;9.70;18.30;28.70;66.80;819.00;13.40;55.00;1013.60;0.00;0.00;12.10;14.10;0.00;0.00;13.00;38.00;4.70;4.80;9.70;6.20;14.60;66.80;819.00
27/06/20;    ;16.14;88.91;1014.53;0.78;1.12;102;14.14;17.32;0.52;8.40;74.53;22.70;95.00;1018.30;8.00;14.50;16.20;23.60;24.10;930.00;13.10;58.00;1011.20;0.00;0.00;12.30;13.80;0.00;0.00;9.60;37.00;7.10;8.00;14.50;3.90;9.80;24.10;930.00
28/06/20;    ;16.57;79.89;1019.35;1.87;2.69;159;12.84;17.10;0.00;0.00;179.58;21.30;95.00;1020.70;8.00;11.30;15.00;21.60;0.00;717.00;11.00;61.00;1018.00;0.00;0.00;10.20;11.10;0.00;0.00;10.30;34.00;2.70;8.00;11.30;4.80;10.50;0.00;717.00
29/06/20;    ;16.98;76.77;1019.69;0.90;1.58;131;12.60;17.64;0.00;0.00;165.64;23.10;93.00;1022.70;4.80;11.30;14.90;24.40;0.00;721.00;10.80;55.00;1016.90;0.00;0.00;9.20;10.60;0.00;0.00;12.30;38.00;5.80;4.80;11.30;5.70;13.80;0.00;721.00
30/06/20;    ;16.82;78.93;1015.34;1.82;2.38;87;12.75;17.33;0.00;0.30;124.73;23.20;95.00;1018.60;9.70;16.10;14.90;23.40;0.00;854.00;11.60;51.00;1011.90;0.00;0.00;10.70;11.80;0.00;0.00;11.60;44.00;6.70;9.70;16.10;4.20;11.60;0.00;854.00
01/07/20;    ;16.13;84.90;1012.06;0.41;0.61;131;13.50;17.18;0.00;0.50;37.75;21.20;93.00;1014.60;6.40;19.30;15.20;22.30;0.00;288.00;10.70;63.00;1010.50;0.00;0.00;9.30;10.60;0.00;0.00;10.50;30.00;4.10;6.40;19.30;5.90;11.70;0.00;288.00
02/07/20;    ;12.88;71.81;1015.90;0.41;0.91;117;6.92;12.10;0.00;0.30;182.58;22.20;94.00;1018.00;4.80;9.70;9.80;21.00;0.00;687.00;6.80;28.00;1014.20;0.00;0.00;2.20;5.80;0.00;0.00;15.40;66.00;3.80;4.80;9.70;7.60;15.20;0.00;687.00
03/07/20;    ;14.65;64.41;1017.22;0.56;1.17;139;7.00;13.86;0.00;0.00;180.28;23.90;90.00;1019.00;4.80;11.30;10.00;23.30;0.00;673.00;7.30;28.00;1014.90;0.00;0.00;3.00;6.30;0.00;0.00;16.60;62.00;4.10;4.80;11.30;7.00;17.00;0.00;673.00
04/07/20;    ;14.96;75.31;1018.94;0.42;0.87;144;10.19;15.03;0.00;0.00;179.24;24.80;91.00;1021.70;4.80;9.70;14.20;25.80;0.00;673.00;7.90;47.00;1016.30;0.00;0.00;6.40;7.10;0.00;0.00;16.90;44.00;5.40;4.80;9.70;7.80;18.70;0.00;673.00
05/07/20;    ;15.65;82.92;1019.77;0.36;0.73;113;12.55;16.44;0.00;0.00;142.56;24.00;95.00;1021.70;3.20;9.70;16.40;26.10;0.00;765.00;9.10;60.00;1017.60;0.00;0.00;8.10;8.70;0.00;0.00;14.90;35.00;4.10;3.20;9.70;8.30;17.40;0.00;765.00
06/07/20;    ;17.38;78.55;1018.20;0.42;1.02;125;13.15;18.32;0.00;0.30;161.91;26.80;95.00;1020.30;3.20;8.00;16.60;27.80;0.00;684.00;11.20;45.00;1015.60;0.00;0.00;10.10;11.30;0.00;0.00;15.60;50.00;4.70;3.20;8.00;6.50;16.50;0.00;684.00
07/07/20;    ;16.86;74.78;1016.65;1.11;2.76;82;11.77;17.21;0.00;0.00;130.03;26.30;92.00;1019.00;8.00;16.10;13.80;26.60;0.00;638.00;11.10;40.00;1013.20;0.00;0.00;9.80;11.10;0.00;0.00;15.20;52.00;5.80;8.00;16.10;4.00;15.50;0.00;638.00
08/07/20;    ;15.97;75.89;1016.15;0.83;2.76;85;10.99;16.16;0.00;0.30;171.93;25.70;95.00;1018.00;8.00;16.10;14.90;26.80;0.00;687.00;8.40;42.00;1013.60;0.00;0.00;7.50;7.80;0.00;0.00;17.30;53.00;4.40;8.00;16.10;7.40;19.00;0.00;687.00
09/07/20;    ;15.86;82.99;1018.78;0.24;2.23;79;12.75;16.72;0.00;0.30;112.27;24.70;94.00;1021.00;3.20;6.40;16.90;26.70;0.00;708.00;10.60;56.00;1016.60;0.00;0.00;9.60;10.60;0.00;0.00;14.10;38.00;4.40;3.20;6.40;7.30;16.10;0.00;708.00
10/07/20;    ;16.46;79.81;1019.44;0.54;3.34;106;12.61;17.21;0.00;0.30;162.93;25.90;94.00;1021.70;6.40;12.90;16.60;26.80;0.00;679.00;10.20;49.00;1016.90;0.00;0.00;8.80;9.90;0.00;0.00;15.70;45.00;4.80;6.40;12.90;7.80;16.90;0.00;679.00
11/07/20;    ;16.79;80.47;1019.21;0.40;2.30;102;13.06;17.69;0.00;0.30;130.19;24.90;95.00;1022.00;4.80;9.70;15.70;25.80;0.00;840.00;11.40;49.00;1016.30;0.00;0.00;10.50;11.60;0.00;0.00;13.50;46.00;5.70;4.80;9.70;5.20;14.20;0.00;840.00
12/07/20;    ;17.65;76.19;1016.69;0.95;4.49;97;12.95;18.40;0.00;0.00;177.97;25.80;93.00;1018.60;6.40;12.90;15.60;26.80;0.00;749.00;11.70;49.00;1014.20;0.00;0.00;10.30;11.80;0.00;0.00;14.10;44.00;4.40;6.40;12.90;5.30;15.00;0.00;749.00
13/07/20;    ;18.93;73.38;1017.07;0.58;3.32;126;13.57;19.95;0.00;0.00;170.47;27.80;90.00;1019.30;3.20;8.00;15.70;28.80;0.00;745.00;12.90;42.00;1014.60;0.00;0.00;11.10;13.30;0.00;0.00;14.90;48.00;4.70;3.20;8.00;4.60;15.50;0.00;745.00
14/07/20;    ;17.66;80.56;1017.92;0.39;3.53;119;14.11;18.93;0.00;0.00;91.21;23.80;92.00;1019.60;4.80;12.90;16.90;26.10;0.00;761.00;12.70;59.00;1016.30;0.00;0.00;11.30;12.90;0.00;0.00;11.10;33.00;3.30;4.80;12.90;5.60;13.20;0.00;761.00
15/07/20;    ;14.33;87.66;1019.60;0.33;0.89;81;12.14;15.00;0.21;0.80;257.40;25.20;95.00;1021.30;6.40;14.50;15.80;26.80;4.30;677.00;10.40;53.00;1017.60;0.00;0.00;9.50;10.30;0.00;0.00;14.80;42.00;3.70;6.40;14.50;6.30;16.50;4.30;677.00
